source_port,destination_port,protocol,duration,packet_count,bytes_sent,bytes_received,bytes_per_packet,anomaly_score,anomaly_label,freq_count,rarity_flag,final_anomaly
32237,995,0,2.9108021447220507,74,9200,4879,124.32432432432432,0.13423583772429387,1,1,True,0
15995,995,0,4.66116767475193,33,4015,1848,121.66666666666669,0.12423243858674599,1,1,True,0
65426,80,0,1.802558022114726,23,2572,3190,111.82608695652172,0.09687221697705245,1,1,True,0
16433,993,0,4.126773103326032,92,2993,3000,32.53260869565217,0.12876514570123077,1,1,True,0
27110,143,2,1.949096873660757,43,4257,6826,99.0,0.0645153984411404,1,1,True,0
36188,14103,0,16.714789352958626,431,283570,3395,657.9350348027842,-0.09016683078668652,1,1,True,0
61365,53,1,0.5698486840130674,85,4327,13000,50.90588235294118,0.07121629587318667,1,1,True,0
25353,993,1,4.023830729374905,61,8172,12276,133.9672131147541,0.0837914917555736,1,1,True,0
27999,443,0,2.152761856413456,72,1336,4022,18.55555555555556,0.1424149515516157,1,1,True,0
54546,143,0,0.2553830386385176,87,6463,14969,74.28735632183908,0.08123036393808364,1,1,True,0
60920,53,0,3.473063214071292,80,3119,4642,38.9875,0.12380697539919461,1,1,True,0
8224,110,0,4.049464143017927,77,3246,14113,42.15584415584416,0.09249562750099338,1,1,True,0
45436,25,0,1.8347112468075517,47,8377,5431,178.2340425531915,0.13729151528648592,1,1,True,0
10200,53,1,4.059778711485898,60,8767,4324,146.11666666666667,0.09610595796137333,1,1,True,0
10423,443,0,3.0157416776960764,47,4035,4815,85.85106382978724,0.13337753526913448,1,1,True,0
31622,25,0,3.235867643019862,49,4229,9002,86.3061224489796,0.14298131806308123,1,1,True,0
55027,22,0,0.1448625729545424,54,8764,9214,162.2962962962963,0.10329982700818968,1,1,True,0
7642,33244,0,0.0125722538490826,2,84,45,42.0,0.013819741000345276,1,1,True,0
15871,443,0,2.170044051064465,23,9200,14713,400.0,0.05815013125101409,1,1,True,0
35868,22,1,4.505732087223074,22,8345,11977,379.3181818181818,0.08733116512571254,1,1,True,0
7526,3389,0,1.422086649251021,13,818,1970,62.92307692307692,0.09845409510367337,1,1,True,0
61612,443,0,3.765091555980975,24,8332,1245,347.1666666666667,0.0919818867039005,1,1,True,0
32094,22,1,4.428395222562946,39,2610,7783,66.92307692307692,0.1096907317765034,1,1,True,0
56553,995,1,2.260014928757996,26,6727,14055,258.7307692307692,0.06220519825731263,1,1,True,0
36001,53,1,4.10672568375737,19,5760,13441,303.1578947368421,0.08559388975410476,1,1,True,0
23308,34112,0,0.0308604858552958,3,71,50,23.666666666666668,0.042746001272864154,1,1,True,0
13679,61342,5,6.593638693159933,61,7454,9828,122.1967213114754,-0.12807215905191038,-1,1,True,1
12932,993,0,3.9949634767211424,22,9602,9336,436.45454545454544,0.08277142503680046,1,1,True,0
3232,25,0,0.4610755815322382,38,3375,12739,88.8157894736842,0.0854290192860292,1,1,True,0
2283,995,0,3.27594805871021,62,1293,13095,20.85483870967742,0.07915013650115449,1,1,True,0
25340,995,0,3.8559621198827663,10,5660,6540,566.0,0.09372537922795815,1,1,True,0
55475,995,0,4.939468132097298,94,9685,2503,103.03191489361704,0.09916635023316245,1,1,True,0
13139,53,1,1.9194784971035677,38,1336,9294,35.1578947368421,0.10749996345701451,1,1,True,0
2129,53,0,3.4626784002515176,78,8667,8765,111.1153846153846,0.10604957091063644,1,1,True,0
4492,51357,5,7.523650782769343,121,14205,18200,117.39669421487604,-0.13022129526743254,-1,1,True,1
45965,80,0,0.5767037205230934,80,8868,2217,110.85,0.1315817164316665,1,1,True,0
57608,993,1,4.214135764488891,70,7264,9701,103.77142857142856,0.08003877459952413,1,1,True,0
36186,25,1,2.7928582172935243,27,3655,5071,135.37037037037038,0.12319929803900681,1,1,True,0
43136,53,0,3.0706364305679483,15,5885,6221,392.3333333333333,0.1270355674441324,1,1,True,0
